Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,116.360001,116.900002,110.940002,113.349998,111.641090,11710400
2017-12-01,111.559998,116.410004,110.489998,112.360001,110.666016,8915600
2018-01-01,111.230003,116.500000,109.370003,113.250000,111.542595,28479000
2018-02-01,112.220001,112.559998,99.199997,104.500000,102.924515,24010200
2018-03-01,102.820000,109.529999,101.080002,105.160004,103.574570,18115700
2018-04-01,105.080002,111.570000,102.330002,110.830002,109.159088,18830300
2018-05-01,110.410004,116.690002,109.720001,112.790001,111.089531,20449500
2018-06-01,114.459999,121.949997,112.199997,115.660004,115.660004,19234100
2018-07-01,113.589996,122.739998,113.529999,116.040001,116.040001,19775900
2018-08-01,116.330002,122.510002,112.120003,119.739998,119.739998,14874600
2018-09-01,117.760002,127.160004,114.550003,123.000000,123.000000,16254400
2018-10-01,123.580002,123.750000,102.809998,107.260002,107.260002,26693900
2018-11-01,107.050003,108.470001,105.970001,107.620003,107.620003,1847600
2018-11-06,106.779999,107.580002,106.540001,106.900002,106.900002,601227
